MotherShip.UTCGregorian   MotherShip.motherVNB.X    MotherShip.motherVNB.Y    MotherShip.motherVNB.Z    MotherShip.motherVNB.VX   MotherShip.motherVNB.VY   MotherShip.motherVNB.VZ   
02 Jan 2028 12:00:00.000   -1260.634521384577        0                         49771.72786587346         2.671530862353172         -8.673617379884035e-18    -1.432231069853351e-16    
02 Jan 2028 12:14:24.000   -1248.752538067011        -9.094947017729282e-13    49713.80458675118         2.670686262090825         3.642919299551295e-17     -1.961321730026278e-16    
02 Jan 2028 12:28:48.000   -1234.079970633061        -9.094947017729282e-13    49656.51615088883         2.669805741190904         -1.387778780781446e-17    -1.214306433183765e-17    
02 Jan 2028 12:43:12.000   -1216.647780043082        1.818989403545856e-12     49599.99092820101         2.668891828244367         2.081668171172169e-17     -4.85722573273506e-17     
02 Jan 2028 12:57:36.000   -1196.492674495704        0                         49544.3554886448          2.667947135972308         -2.081668171172169e-17    -1.136243876764809e-16    
02 Jan 2028 13:12:00.000   -1173.657022926707        0                         49489.73434360269         2.6669743536591           2.081668171172169e-17     1.97758476261356e-16      
02 Jan 2028 13:26:24.000   -1148.188741349125        0                         49436.24967122306         2.665976240454689         1.387778780781446e-17     9.367506770274758e-17     
02 Jan 2028 13:40:48.000   -1120.141189659016        9.094947017729282e-13     49384.02106852553         2.664955616908008         1.387778780781446e-17     2.671474153004283e-16     
02 Jan 2028 13:55:12.000   -1089.573040709027        -9.094947017729282e-13    49333.1653103643          2.663915358251045         1.387778780781446e-17     1.908195823574488e-16     
02 Jan 2028 14:09:36.000   -1056.548149087728        -9.094947017729282e-13    49283.79608789058         2.662858385019816         2.775557561562891e-17     6.418476861114186e-17     
02 Jan 2028 14:24:00.000   -1021.135410936138        0                         49236.0237931146          2.661787655666015         -2.775557561562891e-17    1.266348137463069e-16     
02 Jan 2028 14:38:24.000   -983.4086171870917        9.094947017729282e-13     49189.95529714241         2.660706157841819         -2.775557561562891e-17    -9.367506770274758e-17    
02 Jan 2028 14:52:48.000   -943.4462810759456        9.094947017729282e-13     49145.6937292672          2.659616900734997         -2.775557561562891e-17    -6.245004513516506e-17    
02 Jan 2028 15:07:12.000   -901.3314797548425        0                         49103.33828197837         2.658522906252605         2.775557561562891e-17     3.469446951953614e-17     
02 Jan 2028 15:21:36.000   -857.1516566060067        9.094947017729282e-13     49062.98401273928         2.657427201554252         -2.775557561562891e-17    -2.081668171172169e-17    
02 Jan 2028 15:36:00.000   -810.9984439831876        9.094947017729282e-13     49024.72166734796         2.656332810393058         0                         -6.938893903907228e-17    
02 Jan 2028 15:50:24.000   -762.9674420900235        0                         48988.63750407696         2.655242745827095         2.775557561562891e-17     -3.122502256758253e-17    
02 Jan 2028 16:04:48.000   -713.1580250097584        0                         48954.8131398729          2.654160001750121         2.775557561562891e-17     -2.081668171172169e-17    
02 Jan 2028 16:19:12.000   -661.673098935868         0                         48923.32539833908         2.653087545799453         -2.775557561562891e-17    3.469446951953614e-18     
02 Jan 2028 16:33:36.000   -608.6188940842782        0                         48894.24617620173         2.652028311099482         0                         6.938893903907228e-18     
02 Jan 2028 16:48:00.000   -554.1047107431166        4.547473508864641e-13     48867.64231385049         2.650985189168771         -2.775557561562891e-17    -3.469446951953614e-18    
02 Jan 2028 17:02:24.000   -498.242694553716         0                         48843.57549981825         2.649961022982891         -2.775557561562891e-17    3.122502256758253e-17     
02 Jan 2028 17:16:48.000   -441.1475941836284        4.547473508864641e-13     48822.10214517095         2.648958598623686         0                         -1.040834085586084e-17    
02 Jan 2028 17:31:12.000   -382.9365084556978        0                         48803.27331135221         2.647980639492349         0                         3.642919299551295e-17     
02 Jan 2028 17:45:36.000   -323.728651048703         4.547473508864641e-13     48787.13462809745         2.647029799295315         0                         -1.040834085586084e-17    
